product,product_category
CORDINA MAR GO RITA WATERMELON,4
CORDINA PINA GO LADA PK,4
PARADICE LIME MARGARITA,4
PARADICE LIME MARGARITA LIGHT,4
PARADICE STRWBRY DAIQUIRI LGHT,4
SCOOPS RED BLEND,0
SCOOPS WHITE BLEND,1
VERDI RASPBERRY SPARKLING,3
VERDI GR APPLE SPARKLINGNG LSE,3
VERDI SPUMANTE LOOSE,3
VERDI ACAI SPARKLING,3
VERDI GR APPLE SPARKLING,3
VERDI PEACH SPUMANTE,3
PULL CABERNET,0
PULL CHARDONNAY,1
PULL MERLOT,0
QUADRANT,1
QUADRANT RED BLND,0
ALBERTONI CABERNET SAUVIGNON,0
ALBERTONI CHARDONNAY,1
ALBERTONI MERLOT,0
ALLURE MOSCATO,3
ALLURE SPARKLING PINK MOSCATO,3
ALLURE PEACH BUBBLY,3
BALLETTO CHARDONNAY,1
BALLETTO CHARDONNAY TERESAS UNOAKED,1
BALLETTO P GRIS,1
BALLETTO PINOT NOIR,0
BALLETTO ZIN,0
BARON DES CHARTRON BORDEAUX RG,0
BUCA DI BEPPO CHIANTI WICKER,0
BUCA DI BEPPO CHIANTI GLASS,0
COASTAL VINES CABERNET SAUVIGNON,0
COASTAL VINES CHARDONNAY,1
COASTAL VINES MERLOT,0
COASTAL VINES PINOT NOIR,0
CRANE LAKE CABERNET SAUVIGNON,0
CRANE LAKE MERLOT,0
CRANE LAKE BRUT,3
CRANE LAKE MOSCATO,1
CRANE LAKE PINOT GRIGIO,1
CRANE LAKE WHITE ZINFANDEL,2
CRANE LAKE PINOT NOIR,0
CRANE LAKE PETITE SIRAH,0
CRANE LAKE SANGIOVESE,0
CRANE LAKE SAUVIGNON BLANC,1
CRANE LAKE SHIRAZ,0
CRANE LAKE SWEET RED,0
DOMAINE NAPA CABERNET SAUVIGNON,0
DOMAINE NAPA CHARDONNAY,1
DOMAINE NAPA MERLOT,0
DOUGLAS HILL CABERNET SAUVIGNON,0
DOUGLAS HILL CHARDONNAY,1
DOUGLAS HILL MERLOT,0
DOUGLAS HILL MOSCATO,1
DOUGLAS HILL SWT RED,0
DOUGLAS HILL WHITE ZINFANDEL,2
ESTRELLA CALIF RED WINE,0
ESTRELLA CHARDONNAY,1
ESTRELLA PINOT GRIGIO,1
ESTRELLA SAUVIGNON BLANC,1
FOREST GLEN CABERNET SAUVIGNON NL,0
FOREST GLEN CHARDONNAY,1
FOREST GLEN MERLOT NL,0
FOREST GLEN MOSCATO,1
FOREST GLEN WH MERL FSTFI NL,0
FORESTVILLE CABERNET SAUVIGNON,0
FORESTVILLE CHARDONNAY,1
FORESTVILLE MERLOT,0
FORESTVILLE WHITE ZINFANDEL,2
FORESTVILLE PINOT GRIGIO,1
GLORIOSO CRIANZA,0
GRAN VINO SANSON,4
HACIENDA CABERNET SAUVIGNON,0
HACIENDA CHARDONNAY,1
HACIENDA MERLOT,0
HACIENDA SPARKLING BRUT AIRLNE,3
LES MOIRETS RED,0
MASKED RIDER CABERNET SAUVIGNON SIX GUN,0
MASKED RIDER GUNSMOKE RED,0
MILFLORES RED WF,0
MILFLORES ROSE,2
MILFLORES WHITE,1
PENASCAL EST SAUVIGNON BLANC,1
QUAIL CREEK CABERNET,0
QUAIL CREEK CHARDONNAY,1
QUAIL CREEK MERLOT,0
QUAIL CREEK PINOT GRIGIO,1
QUAIL CREEK PINOT NOIR,0
QUAIL CREEK SAUVIGNON BLANC,1
QUAIL CREEK SHIRAZ,0
QUAIL CREEK WHITE ZIN,2
RUTHERFORD VINTNERS CABERNET SAUVIGNON,0
RUTHERFORD VINTNERS CHARDONNAY,1
RUTHERFORD VINTNERS MERLOT,0
RUTHERFORD VINTNERS PINOT NOIR,0
RUTHERFORD VINTNERS SAUVIGNON BLANC,1
SABLES DAZUR ROSE,2
SILVER RIDGE CHARDONNAY AIRLINE,1
SILVER RIDGE MERLOT,0
SILVER RIDGE PINOT NOIR,0
SONOMA OAKS CHARDONNAY,1
SONOMA OAKS P GRIS,1
SONOMA OAKS PINOT NOIR,0
VINA MAYOR CRIANZA,0
VINA MAYOR RESERVA,0
VINA MAYOR TINTO ROBLE,0
VINA MAYOR VERDEJO,1
KORBEL SWEET CUVEE,3
KORBEL EXTRA DRY,3
KORBEL PORT,4
KORBEL BRUT ROSE,3
KORBEL SEC,3
FRUIT FANTASIA PEACH MOSCATO,4
FRUIT FANTASIA WTRMLN MOSCATO,4
HAUNTED RED,0
HAUNTED WHITE,1
HAUNTED ZIN,0
ANTANO CRIANZA NL,0
ANTANO RESERVA,0
ANTANO TEMP RIOJA TINTO,0
ARTE LATINO CAVA BRUT,3
CASTILLO SAN SIMON CABERNET SAUVIGNON,0
CASTILLO SAN SIMON CHARDONNAY,1
RON CASTILLO SAN SIMON CRIANZA,0
CASTILLO SAN SIMON TEMPRANILLO,0
CONDE DE VALDEMAR CRIANZA,0
CONDE DE VALDEMAR ROSE,2
CONDES DE ALBAREI,1
CRISTALINO JS BRUT ROSE,3
CRISTALINO JS BRUT GFT,3
CRISTALINO JS BRUT VINTAGE,3
CRISTALINO JS EXTRA DRY,3
DON SIMON SANGRIA,4
DON SIMON SANGRIA NW UPC,4
DON SIMON BRUT SELECCION,3
DON SIMON CHARDONNAY,1
DON SIMON ROSE SELECCION,1
DON SIMON SANGRIA HEB,4
DON SIMON SANGRIA SPARKLING,4
DON SIMON SHIRAZ,0
DON SIMON TEMPRANILLO,1
INSPIRACION VALDEMAR,0
OP CABERNET SAUVIGNON,0
OP CHARDONNAY,1
OP MERLOT,0
OP TEMPRANILLO,0
OPERA PRIMA BELLINI,0
OPERA PRIMA BRUT SPARKLING,3
OPERA PRIMA CABERNET SAUVIGNON LA MAN SPROUTS,0
OPERA PRIMA CHARDONNAY SPROUTS,1
OPERA PRIMA MERLOT,0
OPERA PRIMA MERLOT SPROUTS,0
OPERA PRIMA MIMOSA,0
OPERA PRIMA MOSCATO PINK SPARKLING,3
OPERA PRIMA MOSCATO SPARKLING,3
OPERA PRIMA SHIRAZ SPROUTS,0
OPERA PRIMA SWT PINK,0
OPERA PRIMA SWT RED,0
OPERA PRIMA SWT WHITE,0
OPERA PRIMA TEMPRANILLO,0
PATA NEGRA GR RESERVE,0
PAZO SERANTELLOS WF,1
SALNEVAL,1
CHOCOLADE,4
CHOCOLADE WHIPPED CREAM,4
CHOCOVINE RASPBERRY,4
CHOCOVINE WHIPPED,4
VINESMOOTHIE BERRY,4
VINESMOOTHIE PEACH,4
VINESMOOTHIE PINEAPPLE COCONUT,4
VINESMOOTHIE STRAWBERRY,4
ZAZO MOSCATO ROSE,2
MODERN BERRYTINIS VARIETY  P,3
MODERN CHAMPAGNE TOPPERS VRTY  P,3
MODERN EVERYDAY SHIPPER,4
MODERN LITE ZERO CAL VRTY  P,3
MODERN MARGARITA VARIETY  PK,3
MODERN MARTINIS VARIETY  PK,3
MODERN TROP HIGHBALL VRTY  P,3
MODERN BLOOD ORNG MRG SNGL,3
MODERN CRANBRY COSMO SNGL ,3
MODERN GRAPEFRT MRTNI SNGL,3
MODERN LEMON DROP SNGL ,3
MODERN MARGARITA SNGL ,3
MODERN PINA COLADA SNGL ,3
CRUMP VALLEY BELLE SWT RED,0
CRUMP VALLEY CABERNET SAUVIGNON,0
CRUMP VALLEY MERLOT,0
CRUMP VALLEY NEON BLUSH,2
CRUMP VALLEY PHAT CAT SWT WHT,0
CRUMP VALLEY VIN VIGNE SWT WHT,0
MIRANDA LAMBERT BELLE SWT RED,0
MIRANDA LAMBERT CABERNET SAUVIGNON RED ,0
MIRANDA LAMBERT CHARDONNAY WHT LIAR,1
MIRANDA LAMBERT ELCTRC PNK,2
MIRANDA LAMBERT EX GRLFRND WHT,1
MIRANDA LAMBERT KEROSENE WHT,1
MIRANDA LAMBERT MERLOT CNTY RD,0
DAQUINO MOSCATO,1
DAQUINO PINOT GRIGIO DELLA VENEZI,1
DAQUINO PINOT GRIGIO RONDOVEL BTL,1
DAQUINO ROSSO DOLCE RONDOVEL,1
DAQUINO ROSSO TOSCANO IGT,1
COOPERS CROSSING CHARDONNAY,1
COOPERS CROSSING SHIRAZ,0
DE BORTOLI NOBLE BOT SEMILLON,1
EMERI HEARTS PINK MOSCATO,2
EMERI MOSCATO,1
EMERI PINK MOSCATO,2
EMERI SPKLG SAUVIGNON BLANC,1
WILLOWGLEN TAWNY PORT,4
BELLE AMBIANCE CABERNET SAUVIGNON,0
BELLE AMBIANCE CHARDONNAY,1
BELLE AMBIANCE PINOT GRIGIO,1
BELLE AMBIANCE PINOT NOIR,0
BELLE AMBIANCE RED BLND,0
BOTA BOX CABERNET SAUVIGNON,0
BOTA BOX CHARDONNAY,1
BOTA BOX MALBEC,0
BOTA BOX MERLOT,0
BOTA BOX REDVOLUTION,0
BOTA BOX RIESLING,1
BUBO CABERNET SAUVIGNON WF,0
BUBO PINOT GRIGIO WF,1
BUBO PINOT NOIR WF,0
BUBO ZINFANDEL WF,0
CH MARIS SYRAH LA TOUGE P,0
COWGIRL SISTERHOOD SWEET WHITE,1
DEEP PURPLE ZIN,0
DEEP PURPLE ZIN NEW UPC,0
DOMINO MOSCATO BY DELICATO,1
DOMINO PINOT GRIGIO BY DELICATO,1
DOMINO PINK MOSCATO BY DELICATO,1
FOG HEAD CHARDONNAY,1
FOG HEAD PINOT NOIR,0
FOG HEAD SAUVIGNON BLANC,1
GNARLY HEAD AUTHENT RED NL,0
GNARLY HEAD AUTHENTIC WHT,0
GNARLY HEAD CABERNET SAUVIGNON NL,0
GNARLY HEAD CHARDONNAY,1
GNARLY HEAD MALBEC,0
GNARLY HEAD MERLOT NL,0
GNARLY HEAD PINOT GRIGIO NL,1
HANDCRAFT CABERNET SAUVIGNON,0
HANDCRAFT CHARDONNAY,1
HANDCRAFT MALBEC,0
HANDCRAFT PINOT NOIR,0
HANDCRAFT PETITE SYRAH,0
HANDCRAFT RED,0
HANDCRAFT WHITE,1
HAUTE RED PINOT NOIR,0
HAUTE WHITE RIESLING,1
IRONY CABERNET SAUVIGNON NAPA NL,0
IRONY CHARDONNAY MONTEREY,1
IRONY MERLOT MONTEREY NL,0
KATE CASSIE CABERNET MERLOT,0
KATE CASSIE CABERNET MERLOT NUPC,0
KATE CASSIE PINOT GRIGIO,1
LA DI DA WHITE ZINFANDEL,2
LOREDONA RIESLING,1
LOREDONA VIOGNIER,1
MASSIMO MALBEC,0
MASSIMO RIOJA,0
MASSIMO SAUVIGNON BLANC,1
MIDDLE SIS CABERNET MISCHF MKR NUPC,0
MIDDLE SIS CHARDONNAY SMRT PNT NUPC,1
MIDDLE SIS MERLT FRVR NUPC,0
MIDDLE SIS MOSCATO SWTSAS NUPC,1
MIDDLE SIS PINOT GRIGIO QUEEN NUPC,1
MIDDLE SIS PINOT NOIR GDY SH NUPC,0
MIDDLE SISTER CHARDONNAY SMRTY PANT,1
MIDDLE SISTER GLAM GIRL BUBBLY,0
MIDDLE SISTER GLM GRL PNK BBLY,0
MIDDLE SISTER MALBEC WILD ONE,0
MIDDLE SISTER MERLT FREVR COOL,0
MIDDLE SISTER PINK MOSCATO,2
MIDDLE SISTER REBEL RED NUPC,0
MIDDLE SISTER SAUVIGNON BLANC SURFR CK,1
MIDDLE SISTER SWTE PIE SWT RED,0
MIDDLE SISTER WICKED WHITE,0
MIDDLE SISTER WICKED WHT NUPC,0
MONOGAMY CABERNET SAUVIGNON,0
MONOGAMY CHARDONNAY,1
NOBLE VINES RED,0
NOBLE VINES MERLOT,0
NOBLE VINES SAUVIGNON BLANC,1
NOBLE VINES CHARDONNAY,1
NOBLE VINES PINOT NOIR,0
PROMISQOUS RED NEW UPC,1
PURPLE COWBOY CABERNET SAUVIGNON TRAIL BOSS,0
PURPLE COWBOY MERLOT NIGHT RIDER,0
PURPLE COWBOY TENACIOUS RED,0
SEQUIN MOSCATO,1
SEQUIN PINOT GRIGIO,1
SEQUIN ROSE,2
SEQUIN SHEER WHT SHEER DELIGHT,1
SLOW DANCER CABERNET SAUVIGNON,0
STONEBARN CABERNET SAUVIGNON,0
STONEBARN CHARDONNAY,1
TWISTED CABERNET,0
TWISTED CHARDONNAY,1
TWISTED MERLOT,0
TWISTED PINOT GRIGIO,1
TWISTED ZINFANDEL,0
TWISTED CABERNET SAUVIGNON NL,0
TWISTED CHARDONNAY NL,1
TWISTED MERLOT NL,0
TWISTED MOSCATO,1
TWISTED PINOT GRIGIO NL,1
TWISTED WHITE ZIN,2
WINE SISTERHOOD CABERNET,0
WINE SISTERHOOD CHARDONNAY,1
WINE SISTERHOOD MOSCATO,1
WINE SISTERHOOD PINOT GRIGIO,1
WINE SISTERHOOD RED BLEND,0
WOLF GANG PUCK CABERNET SAUVIGNON,0
WOLF GANG PUCK CHARDONNAY,1
WOLF GANG PUCK RED BLEND,0
 WINE MEN CABERNET SAUVIGNON,0
 WINE MEN CHARDONNAY,1
 WINE MEN MERLOT,0
AQUINAS CHARDONNAY UN OAKED,1
AQUINAS MERLOT,0
AQUINAS PINOT NOIR,0
B SIDE CABERNET SAUVIGNON,0
B SIDE RED,0
CRUSHER PETITE SIRAH KEG,0
CRUSHER CABERNET SAUVIGNON,0
CRUSHER CHARDONNAY,1
CRUSHER MERLOT,0
CRUSHER PINOT NOIR,0
CRUSHER PETITE SIRAH,0
CRUSHER RED,0
CRUSHER VIOGNIER,1
DON AND SONS PINOT NOIR KEG,0
DON AND SONS CHARDONNAY SIG,1
DON AND SONS PINOT NOIR SIG,0
FARMERS MARKET CHARDONNAY,1
FARMERS MARKET SAUVIGNON BLANC,1
GUNSIGHT ROCK CABERNET SAUVIGNON,0
IL DONATO PINOT GRIGIO,1
IL DONATO ROSSO,1
PEPPERWOOD GROVE CABERNET SAUVIGNON BIB PK,0
PEPPERWOOD GROVE CHARDONNAY,1
PEPPERWOOD GROVE PINOT GRIGIO,1
PEPPERWOOD GROVE SWT RED,0
PROJECT PASO RED,0
PROJECT PASO ZIN,0
SIMPLE LIFE CHARDONNAY,1
SIMPLE LIFE PINOT NOIR,0
SMOKING LOON CHARDONNAY OP,1
SMOKING LOON CHARDONNAY STEELBIRD,1
SMOKING LOON PINOT GRIGIO,1
SMOKING LOON RED LOONATIC,1
SMOKING LOON VIOGNIER,1
ACANTUS TEMPRANILLO CABERNET SAUVIGNON,0
ANARES RED RESERVE,0
BORNOS SAUVIGNON BLANC SEMIDULCE,1
CALLEJON DEL CRIMEN CABERNET SAUVIGNON,0
CALLEJON DEL CRIMEN MALBEC,0
CALLEJON DEL CRIMEN PET VERDOT,0
CALLEJON DEL CRIMEN SANGIOVESE,0
CERRO ANON RESERVE,0
MAYOR DE ONDARRE RESERVE,0
ONDARRE RESERVE,0
OTONAL RIOJA RESERVE,0
PALACIO DE BORNOS VERDEJO,1
SUMMA RED RESERVE,0
VALLEBUENO CRIANZA,0
KENWOOD JACK LONDON CABERNET SAUVIGNON,0
KENWOOD CABERNET SAUVIGNON ARTIST,0
KENWOOD JACK LONDON MERLOT,0
KENWOOD RESERVE PINOT NOIR,0
KENWOOD JACK LONDON ZINFANDEL,0
KENWOOD SONOMA CHARDONNAY,1
KENWOOD CABERNET SAUVIGNON THREE FORKS,0
KENWOOD CHARDONNAY THREE FORKS,1
KENWOOD SONOMA MERLOT,0
KENWOOD SWEET MOSCATO,1
KENWOOD RED,0
KENWOOD RESERVE ZINFANDEL,0
KENWOOD YULUPA BRUT,3
KENWOOD YULUPA CABERNET SAUVIGNON,0
KENWOOD YULUPA CHARDONNAY,1
KENWOOD YULUPA MERLOT,0
KENWOOD YULUPA PINOT NOIR,0
KENWOOD YULUPA ZINFANDEL,0
VAL MOON PORT ,0
VAL MOON CUVEE DLUNA,0
VAL MOON P BLANC,0
VAL MOON SYRAH,0
 GAGE BUFFALO RED,0
 GAGE BUFFALO WHITE,1
 GAGE GRAND RESERVE,0
FALL CREEK EDS JUST RIGHT WHITE,1
FALL CREEK BLUSH GRANITE,2
FALL CREEK CABERNET SAUVIGNON,0
FALL CREEK CACHE WHITE,1
FALL CREEK CHARDONNAY MUSCAT CANELLI,1
FALL CREEK CHARDONNAY REATA,1
FALL CREEK CHENIN BLANC,1
FALL CREEK EDS SMOOTH RED,0
FALL CREEK MERLOT,0
FALL CREEK WHITE RIESLING,1
FALL CREEK SAUVINGON BLANC,1
FALL CREEK TEMPRANILLO,0
FALL CREEK WHITE ZINFANDEL,2
LOVE WAR WHITE,1
TWIN SPRINGS SWEET BLUSH,2
TWIN SPRINGS SWEET RED,0
TWIN SPRINGS SWEET WHITE,1
BEL ARBOR CABERNET SAUVIGNON,0
BEL ARBOR CHARDONNAY,1
BEL ARBOR MALBEC,0
BEL ARBOR MOSCATO,1
BEL ARBOR PINOT GRIGIO,1
BEL ARBOR BELLA RED BLEND,0
BEL ARBOR BELLA WHITE BLEND,1
BONTERRA MUSCAT,1
BONTERRA THE BUTLER,0
BONTERRA PINOT NOIR,0
BONTERRA RIESLING,1
BONTERRA SAUVIGNON BLANC,1
BONTERRA VIOGNIER,1
BONTERRA ZINFANDEL,0
FETZER MOSCATO,1
FETZER PINOT GRIGIO,1
FETZER PINOT NOIR,0
FETZER ZINFANDEL,0
FETZER CRIMSON RED BLEND,0
FETZER WHITE BLEND,1
FETZER PINOT NOIR RESERVE,0
FETZER SAUVIGNON BLANC RESERVE,1
FETZER ZINFANDEL RESERVE,0
FETZER SHIRAZ,0
HEARTBEAT CABERNET SAUVIGNON,0
HEARTBEAT SAUVIGNON BLANC,1
JEKEL CABERNET SAUVIGNON,0
JEKEL CHARDONNAY,1
JEKEL PINOT NOIR,0
SANCTUARY CABERNET SAUVIGNON,0
SANCTUARY PINOT NOIR,0
SANCTUARY ZINFANDEL,0
FIESTA VNYRD BACK PORCH RED,0
FIESTA VNYRD HAPPY TRAILS,1
FIESTA VNYRD HOME SWT HOME RED,0
FIESTA VNYRD RHINESTONE CWGRL,1
FIESTA VNYRD SAVANNAH ROSE,2
FIESTA VNYRD SKINNY DIPPIN WHT,1
FIESTA VNYRD TX SUMMER NIGHTS,0
FIESTA VNYRD TX WELL WTR WHT,1
BARCELONA CELLER BLANCO,1
BARCELONA CELLER ROSADO,2
BARCELONA CELLER TINTO,0
CELLER D R SMITH VENDIMIA,0
FINDERS KEEPERS CABERNET SAUVIGNON,0
FINDERS KEEPERS CHARDONNAY,1
FINDERS KEEPERS MERLOT,0
CLIFFORD BAY PINOT NOIR COSTCO,0
DISCOVERIES CABERNET SAUVIGNON,0
DISCOVERIES MERLOT,0
DISCOVERIES PINOT GRIGIO,1
FIRESTONE CABERNET SAUVIGNON EST,0
FIRESTONE CHARDONNAY EST,1
GUENOC MERITAGE RED,0
GUENOC PINOT GRIGIO,1
GUENOC CLARET,0
LOST ANGEL CABERNET SAUVIGNON,0
LOST ANGEL CHARDONNAY,1
LOST ANGEL MERLOT,0
LOST ANGEL MOSCATO,1
LOST ANGEL PINOT NOIR,0
LOST ANGEL RUCKUS,0
SEBASTIANI CABERNET SONOMA,0
AMERICAN PIE CABERNET SAUVIGNON,0
AMERICAN PIE CHARDONNAY,1
AMERICAN PIE MERLOT,0
COCKTAIL RX SANGRIA BUCKET,4
COPPOLA ELEANOR,0
COPPOLA CHARDONNAY DIAMOND,1
COPPOLA MERLOT DIAMOND,0
COPPOLA ALICANTE BOUSCHET DIA,1
COPPOLA ARCHIMEDES,1
COPPOLA CABERNET SAUVIGNON DIAMOND,0
COPPOLA CLARET DIAMOND,1
COPPOLA MALBEC DIAMOND,0
COPPOLA PINOT GRIGIO DIAMOND,1
COPPOLA PINOT NOIR DIAMOND,0
COPPOLA PAVILLION DIAMOND,1
COPPOLA PETITE SIRAH DIAMOND,1
COPPOLA RED DIAMOND,1
COPPOLA SAUVIGNON BLANC DIAMOND,1
COPPOLA SYRAH DIAMOND,0
COPPOLA ZIN DIAMOND,0
COPPOLA DIRECTORS CHARDONNAY KEG,1
COPPOLA DIRECTORS PINOT NOIR KEG,0
COPPOLA DIR MERLOT SON,0
COPPOLA DIRECTORS CABERNET SAUVIGNON,0
COPPOLA DIRECTORS CHARDONNAY,1
COPPOLA DIRECTORS PINOT NOIR,0
COPPOLA DIR CUT CABERNET SAUVIGNON AV,0
COPPOLA DIR CUT CHARDONNAY RR,1
COPPOLA DIR CUT CINEMA,0
COPPOLA DIR CUT PINOT NOIR RR NL,0
COPPOLA DIR CUT SAUVIGNON BLANC AV,1
COPPOLA DIR CUT ZIN DC,0
COPPOLA DIRECTORS ZIN MENDOCIN,0
COPPOLA RB PINOT GRIGIO KEG,1
COPPOLA BIANCO CHARDONNAY,1
COPPOLA BIANCO PINOT GRIGIO,1
COPPOLA PRESENT PINK MOSCAT NL,1
COPPOLA ROSSO,1
COPPOLA SHIRAZ,0
COPPOLA SOFIA MINIS PK LOOSE,1
COPPOLA SOFIA MINIS,1
COPPOLA SOFIA,1
COPPOLA SOFIA CHARDONNAY,1
COPPOLA SOFIA RIESLING,1
COPPOLA SOFIA ROSE,1
COPPOLA VOTRE SANTE PINOT NOIR,0
COPPOLA VOTRE SANTE RED,0
SU YUEN RED NL,0
SU YUEN RIESLING,1
 CABERNET SAUVIGNON,0
 CHARDONNAY,1
 MALBEC,0
 SAUVIGNON BLANC,1
BACCIO RESERVE CHIANTI,0
GEGGIANO PONTIGNANO CHIANTI,0
HONEYWELL TODD CABERNET SAUVIGNON,0
HONEYWELL TODD CHARDONNAY,1
HONEYWELL TODD MERLOT,0
SERJNA BAROLO,0
SERJNA BAROLO ROSE,0
HAAK BLANC DU BOIS DRY GRN LBL,0
HAAK BLANC DU BOIS PORT,0
HAAK BLANC DU BOIS RESERVE,0
HAAK BLANC DU BOIS SEMI SWT,0
HAAK BLANC DU BOIS SWEET BLUE,0
HAAK CABERNET SAUVIGNON,0
HAAK MADEIRA BLANC BOIS LGHT,4
HAAK MADEIRA BLANC DU BOIS ,4
HAAK MADEIRA JACQUEZ TXp,4
HAAK MADEIRA JACQUEZ TX LGHT,4
HAAK MALBEC,0
HAAK PINK PELICAN,0
HAAK PORT VTG,0
HAAK PURPLE PORPOISE,0
HAAK TEMPRANILLO,0
HAAK THE MELLOW ROSE OF TEXAS,0
HAAK THE RED CRAB,0
MOSELLAND ARTIST VLY RIESLING,1
SEVEN SISTERS BUKETT ODELIA,0
SEVEN SISTERS CABERNET SAUVIGNON CAROL,0
SEVEN SISTERS MOSCATO YOLANDA,1
SEVEN SISTERS PNTGE SHRZ DAWN,0
SEVEN SISTERS ROSE TWENA,0
ASS KISSER ALE SMOKED PORT  ,4
LIBERTY SCHOOL MERLOT,0
LIBERTY SCHOOL PINOT NOIR,0
TROUBLEMAKER RED BLEND,0
ACRE CHARDONNAY,1
CALINA ALCANCE CABERNET SAUVIGNON RESERVE,0
CALINA ALCANCE CARMENERE,0
CALINA ALCANCE CHARDONNAY RESERVE,1
CHEVRIOT CHARDONNAY,1
CHEVRIOT PINOT NOIR,0
CHEVRIOT CHARDONNAY RESERVE,1
KJ AVANT CHARDONNAY,1
KJ GR RSV CHARDONNAY,1
KJ GR RSV CABERNET SAUVIGNON,0
KJ GR RSV MERLOT,0
KJ CABERNET SAUVIGNON HIGH EST TRC RDG P,0
KJ CHARDONNAY HIGH EST CAM,1
KJ MERLOT HIGH EST TAYLOR,0
KJ VR CABERNET SAUVIGNON,0
KJ VR MERLOT,0
KJ VR CHARDONNAY,1
KJ PINOT NOIR SPECIAL SELECT,0
KJ VR SUMMATION RED,0
KJ VR SYRAH,0
KJ VR ZINFANDEL MENDOCINO COUNTY,0
LUNA DI LUNA CHARDONNAY PINOT GRIGIO,1
LUNA DI LUNA MERLOT CABERNET SAUVIGNON,0
LUNA DI LUNA MOSCATO,1
LUNA DI LUNA PINOT GRIGIO PINOT BIANCO,1
LUNA DI LUNA SANGIOVESE MERLOT,0
JOTO MABOROSHI JNMAI GINJO SKE,4
JOTO EIKO FUJI BAN RYU,4
JOTO DAIGINJO SAKE,4
JOTO JUNMAI SAKE,4
JOTO NIGORI SAKE,4
JOTO SEIKYO TAKEHARA SAKE,4
JOTO DAIGINJO SAKE GIFT,4
JOTO AKITA KOMACHI DAIG SAKE,4
CHIKURIN KARO JUNMAI SAKE,4
JOTO HOUHOUSHU SAKE PINK SPRKL,4
JOTO HOUHOUSHU SAKE SPARKLING,4
JOTO SHICHI HONYARI JNMAI SAKE,4
JOTO WATARI BUN JNMAI DAIGINJO,4
JOTO WATARI BUN JNMAI GIN SAKE,4
JOTO YUKI BOSHA JNMAI GIN SAKE,4
JOTO YUKI NO BOSHA NIGORI SAKE,4
JOTO YURI MASAMUNE SAKE,4
KARMA CALIF BRUT,3
KIEPERSOL CABERNET SAUVIGNON,0
KIEPERSOL MERLOT,0
KIEPERSOL SYRAH,0
KIEPERSOL VIT WHITE,1
ALTA VISTA CABERNET SAUVIGNON CLASSIC,0
ALTA VISTA CHARDONNAY CLASSIC,1
ALTA VISTA MALBEC CLASSIC,0
BENZIGER CABERNET SAUVIGNON,0
BENZIGER CHARDONNAY,1
BENZIGER SAUVIGNON BLANC,1
BENZIGER TRIBUTE,0
CAPOSALDO CHIANTI,0
CAPOSALDO MOSCATO,1
CAPOSALDO PEACH MOSCATO,1
CAPOSALDO PINK MOSCATO,2
CAPOSALDO PINOT GRIGIO,1
CAPOSALDO PROSECCO,3
CAPOSALDO SWEET MOSCATO,1
CAPOSALDO SWEET RED,0
JADOT BEAUJOLAIS VILLAGES PK,0
JADOT MACON VILLAGES,1
JADOT POUILLY FUISSE,1
JADOT CHARDONNAY,1
JADOT PINOT NOIR,0
ST FRANCIS CABERNET SAUVIGNON,0
ST FRANCIS CLARET,0
ST FRANCIS MERLOT,0
ST FRANCIS WHITE SPLASH,1
ST FRANCIS ZINFANDEL,0
THE SEEKER CABERNET,0
THE SEEKER CHARDONNAY,1
THE SEEKER MALBEC,0
THE SEEKER PINOT GRIGIO,1
THE SEEKER PINOT NOIR,0
THE SEEKER RED BLND,0
THE SEEKER RIESLING,1
THE SEEKER ROSE PROVENCE,0
THE SEEKER SAUVIGNON BLANC,1
WILD OAK CHARDONNAYp,1
THE INFAMOUS GOOSE SAUVIGNON BLANC,1
WILD ROCK PINOT NOIR,0
ALTIVO CRIADORES CRIANZA RED,0
ALTIVO CRIADORES RIOJA RESERVE GLD,0
ALTIVO VENDIMIA SELECCIONADA,0
CHATEAU CARCANIEUX,0
CH DE LA GRANDE GARDIOLE CDP,0
FRENCH KISS CABERNET SAUVIGNON,0
FRENCH KISS CHARDONNAY,1
FRENCH KISS PINOT NOIR,0
BLUE NUN,1
BLUE NUN RIESLING NL,1
CALLAWAY MERLOT COASTAL,0
CALLAWAY SAUVIGNON BLANC COASTAL,1
RON CASTILLO MOLINA SAUVIGNON BLANC RESERVE,1
CHEVAL NOIR GR VIN ST EMILION,0
COLLE NERO CHIANTI,0
DUCA ROSSO DOCG RESERVE,0
EPICA CABERNET SAUVIGNON,0
EPICA CHARDONNAY,1
EPICA RED BLEND,0
EPICA SAUVIGNON BLANC,1
GATO CABERNET SAUVIGNON MERLOT,0
GATO CHARDONNAY,1
GATO SAUVIGNON BLANC,1
GATO MALBEC BOX,0
GATO MALBEC,0
GATO MOSCATO,1
GILIA PINOT GRIGIO,1
GRU MONTEPULCIANO D ABRUZZO,0
HOUSE JAM CHILLIN WHITE,1
HOUSE JAM LAMBRUSCO,3
LA CHIARA GAVI,1
CH LA TROIS CROIX RED,0
LOMBARDO MARSALA DRYp,4
LOMBARDO MARSALA SWEETp,4
LOMBARDO MARSALA SWT,4
LOMBARDO MARSALA ,4
MANGIAVINO SANGIOVESE MONT,0
REAL SANGRIA RED,4
REAL SANGRIA WHITE,4
REAL SANGRIA BOX,4
RECCHIA AMARONE,0
RECCHIA LE MURAIE VALP RIPASSO,0
